"id","deviceid","incidentid","type","timestamp","location","status","description"
"979cb5db-23f8-4842-9bf5-a47d6eb0d7bf","Vehicle-DM258","5eb53e4b-4df3-493f-a702-d596e5ba0f2f","Police","2026-02-01 01:50:21.885","[52.38495440903845,-1.7117238789144391]","Resolved","Description of the Incident"
"bb4251af-4c1e-496b-b9b3-ab599128a625","Vehicle-DM258","da840860-8801-4ca4-a4ab-9a2f53f148c1","Medical","2026-02-01 01:53:37.885","[52.423251438601774,-1.7827637580964668]","Active","Description of the Incident"
"ce4a0dc7-623f-4501-b3fe-5bd214cf1297","Vehicle-DM258","f6f077ac-5880-4114-b4df-8cb547eef98e","Police","2026-02-01 18:59:46.407","[51.80723541471727,-0.6742984038433006]","Active","Description of the Incident"
"dad34270-8680-4b22-b724-a0a0ca5920cf","Vehicle-DM258","37ad4b63-bdd2-4aee-a01d-e1bf4a2158b0","None","2026-02-01 01:51:10.885","[52.39431589975422,-1.7297690884370283]","Resolved","Description of the Incident"
"84241a5a-bb9d-471e-a1e5-e6eacac73e28","Vehicle-DM258","cee26e22-f5ed-40df-a67e-a0b1cdf5830f","Accident","2026-02-01 19:00:37.407","[51.81704333506583,-0.6916178929736005]","Resolved","Description of the Incident"
"a7d1d071-03d0-4127-b8af-d23a7556ccee","Vehicle-DM258","72d3f48d-f8d4-45fd-8a9a-f7c6c81c0cd8","None","2026-02-01 19:01:17.407","[51.82683845756987,-0.7090770000694948]","Resolved","Description of the Incident"
"17c5135c-8458-4add-8d3f-962742ee14e4","Vehicle-DM258","bdd6183f-efb9-44db-b8a9-39ca70d6d4d8","None","2026-02-01 01:54:28.885","[52.43311735712017,-1.8006770192907948]","Active","Description of the Incident"
"0870c52b-51ae-402b-95da-e91e3a7445fb","Vehicle-DM258","0d4d385d-c5b1-4478-8a4b-82dd2943bf51","None","2026-02-01 01:55:20.885","[52.44301435203572,-1.818145188062796]","Resolved","Description of the Incident"
"9d05c672-40e1-413b-af8b-b6260b07e2e0","Vehicle-DM258","da3e7390-5d02-48d8-9040-1c4da8148e63","Fire","2026-02-01 18:56:38.407","[51.76937664596153,-0.6042915243547452]","Resolved","Description of the Incident"
"1f1024d8-6551-4d1f-a151-ad380e6cea18","Vehicle-DM258","fe218660-3b7a-40f9-8527-29bd6b87973d","Accident","2026-02-01 18:57:18.407","[51.778689432323425,-0.6216809598829901]","Resolved","Description of the Incident"
"083f5548-d9d2-4a9d-87bb-2d94048465cd","Vehicle-DM258","15d369db-4a62-4255-85ae-c9b4e0a9d1d7","None","2026-02-01 18:36:03.407","[51.51732742679845,-0.14590098924477735]","Active","Description of the Incident"
"92b446fa-9bd9-4c4b-be10-20391b1a356d","Vehicle-DM258","f5bdb77c-3a9b-421e-8dae-0fdcdc7a5020","Fire","2026-02-01 18:36:55.407","[51.52717667186139,-0.16331096963185496]","Active","Description of the Incident"
"4431b403-1586-4a32-b533-2159a6dd6ea5","Vehicle-DM258","a03a32f2-dfdf-4022-bcd7-3346c536ed7c","Police","2026-02-01 18:37:27.407","[51.5374218849336,-0.18110037508674234]","Active","Description of the Incident"
"489fa563-2ecc-4581-af95-d9e2f57b4ffc","Vehicle-DM258","e1c1abf8-1ed1-490b-90c1-8f0f8e4c198b","Fire","2026-02-01 18:38:16.407","[51.547261925564875,-0.19839697042248935]","Active","Description of the Incident"
"7d756534-24f8-4600-9bd5-53cd5f46c47b","Vehicle-DM258","0cba5fad-0701-411a-968d-657a9fea3c62","Fire","2026-02-01 18:39:12.407","[51.55693005178991,-0.21606956012012093]","Active","Description of the Incident"
"6652a605-7d98-45d8-a23f-f1a8bca69400","Vehicle-DM258","2529a080-2e5f-4eb1-a3a9-5e5536bc4be3","Accident","2026-02-01 18:40:11.407","[51.56638145428367,-0.23381610467836328]","Active","Description of the Incident"
"56c96d19-bb4a-4b13-b108-e81cf2262d7d","Vehicle-DM258","b7f2515e-a1c1-43d1-90c1-e63c237ae2ac","Medical","2026-02-01 18:41:03.407","[51.57658259040786,-0.25137492462688477]","Resolved","Description of the Incident"
"de3692d8-fbbd-479e-a213-97afe8c5ddd8","Vehicle-DM258","d0ccad02-1402-4167-8a44-5ea4970fa56d","Police","2026-02-01 18:41:40.407","[51.58676841329146,-0.2691015241217443]","Active","Description of the Incident"
"25635660-5cf3-4b4c-bdcb-b591dbbacfa1","Vehicle-DM258","a926e0f2-eb3f-43d8-9a4c-2d0938864f3c","Medical","2026-02-01 18:42:24.407","[51.596441180603136,-0.2866316356933832]","Active","Description of the Incident"
